Brand,Model,Year,Horsepower,Engine_Size,Weight,Torque,Acceleration_0_100,Power_Weight,Torque_Weight,Drivetrain,Transmission
Rolls-Royce,Ghost,2024,592,2.9,5371,639,4.46,0.11022156023086949,0.11897225842487433,RWD,Auto
Bentley,Continental GT Speed,2018,637,6.3,5051,697,3.51,0.1261136408631954,0.13799247673727974,AWD,DCT
McLaren,720S,2017,711,3.7,3057,751,2.79,0.2325809617271835,0.24566568531239777,AWD,DCT
BMW,XM Label Red,2024,737,2.3,6007,776,3.78,0.1226901947727651,0.12918262027634428,AWD,Auto
Bugatti,Chiron,2022,1487,4.3,4403,1758,2.36,0.33772427890074946,0.39927322280263455,RWD,DCT
McLaren,Artura,2024,647,3.1,3474,615,3.04,0.1862406447898676,0.1770293609671848,AWD,DCT
Aston Martin,Valkyrie,2023,1103,4.7,2753,1003,2.55,0.400653832183073,0.36432982201235015,RWD,Auto
Lamborghini,Aventador SVJ,2021,757,7.0,4012,769,2.75,0.1886839481555334,0.19167497507477568,RWD,Auto
Mercedes-AMG,GT Black Series,2023,720,3.2,3588,861,3.03,0.20066889632107024,0.2399665551839465,RWD,DCT
Ferrari,F8 Tributo,2023,702,4.2,3262,794,2.81,0.21520539546290618,0.24340895156345801,RWD,DCT
Rolls-Royce,Ghost,2017,561,4.0,5332,515,4.52,0.10521380345086272,0.09658664666166542,AWD,Auto
Bentley,Flying Spur,2022,574,6.6,5026,537,3.91,0.11420612813370473,0.10684440907282133,RWD,Auto
Rolls-Royce,Phantom,2018,554,3.2,5614,517,5.18,0.09868186676166726,0.09209120057000356,AWD,Auto
Porsche,911 Turbo S,2013,609,3.2,3700,658,2.52,0.1645945945945946,0.17783783783783783,AWD,DCT
Rolls-Royce,Phantom,2012,561,5.8,5883,661,5.32,0.09535951045385008,0.11235764065952746,AWD,Auto
Lamborghini,Aventador SVJ,2020,756,4.6,3989,705,2.75,0.18952118325394834,0.176736024066182,AWD,Auto
Mercedes-AMG,GT63 S,2024,607,3.6,4636,634,3.21,0.1309318377911993,0.13675582398619499,RWD,Auto
Aston Martin,DBS Superleggera,2022,700,6.3,3851,681,3.34,0.18177096857958971,0.17683718514671515,RWD,Auto
Bentley,Continental GT Speed,2015,631,4.1,5029,645,3.51,0.12547226088685623,0.128256114535693,AWD,DCT
McLaren,720S,2020,705,4.2,3159,759,2.72,0.22317188983855651,0.2402659069325736,RWD,DCT
Aston Martin,DBS Superleggera,2022,701,6.8,3997,714,3.36,0.17538153615211408,0.1786339754816112,RWD,Auto
Aston Martin,DBS Superleggera,2021,703,5.1,4051,775,3.2,0.17353739817329056,0.19131078745988644,RWD,Auto
Rolls-Royce,Ghost,2010,589,6.1,5427,621,4.74,0.10853141698912844,0.11442786069651742,AWD,Auto
McLaren,Artura,2024,669,6.9,3341,653,3.07,0.20023944926668663,0.1954504639329542,RWD,DCT
Porsche,911 GT3 RS,2016,515,3.1,3339,549,3.26,0.1542377957472297,0.16442048517520216,RWD,DCT
Ferrari,812 Superfast,2020,803,2.5,3703,910,2.93,0.2168512017283284,0.24574669187145556,RWD,DCT
Aston Martin,Valkyrie,2024,1147,3.8,2798,1367,2.39,0.40993566833452466,0.4885632594710507,RWD,Auto
Ferrari,F8 Tributo,2020,703,3.1,3260,636,2.85,0.2156441717791411,0.1950920245398773,RWD,DCT
Bentley,Bentayga Speed,2022,646,4.2,5727,691,3.73,0.11279902217565915,0.12065653920027938,RWD,Auto
Aston Martin,Valkyrie,2022,1150,5.0,2707,1252,2.54,0.4248245289988918,0.4625046176579239,RWD,Auto
Porsche,911 Turbo S,2021,640,5.9,3597,629,2.31,0.17792604948568252,0.17486794551014734,RWD,DCT
Bugatti,Divo,2021,1574,7.8,4436,1854,2.34,0.35482416591523896,0.41794409377817854,AWD,DCT
Porsche,911 GT2 RS,2018,694,7.6,3316,659,2.71,0.20928829915560918,0.19873341375150785,AWD,DCT
Bentley,Flying Spur,2021,571,3.8,5141,575,3.78,0.11106788562536471,0.11184594436879984,RWD,Auto
